MSZoning,LotFrontage,LotArea,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
RL,65,8450,CollgCr,2Story,7,2003,2003,Gd,Gd,No,GLQ,706,Unf,0,150,856,856,854,1,0,2,1,3,1,8,0,Attchd,2,548,WD,Normal,208500
RL,80,9600,Other,1Story,6,1976,1976,TA,Gd,Gd,ALQ,978,Unf,0,284,1262,1262,0,0,1,2,0,3,1,6,1,Attchd,2,460,WD,Normal,181500
RL,Other,11250,CollgCr,2Story,7,2001,2002,Gd,Gd,Mn,GLQ,486,Unf,0,434,920,920,866,1,0,2,1,3,1,6,1,Attchd,2,608,WD,Normal,223500
RL,60,9550,Other,2Story,7,1915,1970,TA,TA,No,ALQ,216,Unf,0,540,756,961,756,1,0,1,0,3,1,7,1,Detchd,3,642,WD,Abnorml,140000
RL,Other,14260,Other,2Story,Other,2000,2000,Gd,Gd,Av,GLQ,655,Unf,0,490,1145,1145,1053,1,0,2,1,4,1,9,1,Attchd,3,836,WD,Normal,250000
RL,Other,14115,Other,Other,5,1993,1995,TA,Gd,No,GLQ,732,Unf,0,64,796,796,566,1,0,1,1,1,1,5,0,Attchd,2,480,WD,Normal,143000
RL,Other,10084,Other,1Story,Other,2004,2005,Gd,Ex,Av,GLQ,1369,Unf,0,317,1686,1694,0,1,0,2,0,3,1,7,1,Attchd,2,636,WD,Normal,307000
RL,80,10382,Other,2Story,7,1973,1973,TA,Gd,Mn,ALQ,859,BLQ,32,216,1107,1107,983,1,0,2,1,3,1,7,2,Attchd,2,484,WD,Normal,200000
RM,Other,6120,OldTown,Other,7,1931,1950,TA,TA,No,Unf,0,Unf,0,952,952,1022,752,0,0,2,0,2,2,8,2,Detchd,2,468,WD,Abnorml,129900
RL,Other,7420,Other,Other,5,1939,1950,TA,TA,No,GLQ,851,Unf,0,140,991,1077,0,1,0,1,0,2,2,5,2,Attchd,1,205,WD,Normal,118000
RL,70,11200,Other,1Story,5,1965,1965,TA,TA,No,Rec,906,Unf,0,134,1040,1040,0,1,0,1,0,3,1,5,0,Detchd,1,384,WD,Normal,129500
RL,Other,11924,Other,2Story,Other,2005,2006,Ex,Ex,No,GLQ,998,Unf,0,177,1175,1182,1142,1,0,3,0,4,1,11,2,BuiltIn,3,736,New,Partial,345000
RL,Other,12968,Other,1Story,5,1962,1962,TA,TA,No,ALQ,737,Unf,0,175,912,912,0,1,0,1,0,2,1,4,0,Detchd,1,352,WD,Normal,144000
RL,Other,10652,CollgCr,1Story,7,2006,2007,Gd,Gd,Av,Unf,0,Unf,0,1494,1494,1494,0,0,0,2,0,3,1,7,1,Attchd,3,840,New,Partial,279500
RL,73,10920,NAmes,1Story,6,1960,1960,TA,TA,No,BLQ,733,Unf,0,520,1253,1253,0,1,0,1,1,2,1,5,1,Attchd,1,352,WD,Normal,157000
RM,Other,6120,Other,Other,7,1929,2001,TA,TA,No,Unf,0,Unf,0,832,832,854,0,0,0,1,0,2,1,5,0,Detchd,2,576,WD,Normal,132000
RL,73,11241,NAmes,1Story,6,1970,1970,TA,TA,No,ALQ,578,Unf,0,426,1004,1004,0,1,0,1,0,2,1,5,1,Attchd,2,480,WD,Normal,149000
RL,Other,10791,Other,1Story,Other,1967,1967,TA,None,None,None,0,None,0,0,0,1296,0,0,0,2,0,2,2,6,0,CarPort,2,516,WD,Normal,90000
RL,Other,13695,Other,1Story,5,2004,2004,TA,TA,No,GLQ,646,Unf,0,468,1114,1114,0,1,0,1,1,3,1,6,0,Detchd,2,576,WD,Normal,159000
